artist,album,track,uri
Spencer.,No Direction,No Direction,spotify:track:5QF5sgCiM0kuPaJyvCgotq
Khalil Harrison,Jealousy (feat. Leemckrazy & Ceeka RSA),Jealousy (feat. Leemckrazy & Ceeka RSA),spotify:track:6OGNF7mro80pMi5q1HhylS
Bayou,Egyptian Wifey,Egyptian Wifey,spotify:track:2XBEQM6MEQW0JCEhrsFQp1
Kesha,Warrior (Expanded Edition),Die Young,spotify:track:7EQGXaVSyEDsCWKmUcfpLk
"Tyler, The Creator",IGOR,EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,spotify:track:5e4LIAQI0bClLazNf2gZV0
JT,Sideways,Sideways,spotify:track:5FwhprNsUarRkLXqBE8tK8
SZA,Good Days,Good Days,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A
J Balvin,OASIS,QUE PRETENDES,spotify:track:25ZAibhr3bdlMCLmubZDVt
"Tyler, The Creator",Cherry Bomb + Instrumentals,FUCKING YOUNG / PERFECT - Instrumental,spotify:track:26jiz9ZZTRxYb0nnuWKyO0
Erykah Badu,But You Caint Use My Phone,I'll Call U Back,spotify:track:6zfVYM5Nne0EzpjzYfJKwp
Tyla,TYLA,On and On,spotify:track:2bBaAOsFVQfKwMAe4wVQb6
Darude,"Before the Storm, Special Edition",Sandstorm,spotify:track:6Sy9BUbgFse0n0LPA5lwy5
Lil Yachty,Lil Boat 2,NBAYOUNGBOAT,spotify:track:6K2anECyrckidwf5wxS78Q
Kali Uchis,Por Vida,Melting,spotify:track:2kSb3wYSOV996xA2NSmpck
Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki
Megan Thee Stallion,MEGAN,HISS,spotify:track:1a9dUxIQ2ehPH3992H9uPe
wave to earth,wave 0.01,bonfire,spotify:track:10gvzlGLv9gEgfHORWtc1C
Palmer,soft boy,soft boy,spotify:track:5ZXrAj7BsNa2ohTGYofVnk
KAYTRANADA,BUBBA,10% (feat. Kali Uchis),spotify:track:41SwdQIX8Hy2u6fuEDgvWr
Mac DeMarco,2,Freaking Out the Neighborhood,spotify:track:3HlK8txWAdtKMrbsqX40pl
Malcolm Todd,Sweet Boy,Earrings,spotify:track:0eAuGrXyGFYwur9ARUe7LJ
Wallows,Calling After Me,Calling After Me,spotify:track:2WGcpz55A2vrvh6foEGCNL
Rauw Alejandro,VICE VERSA,Cúrame,spotify:track:1FlL8ycld6uVDDyhV7P5FA
Burna Boy,"Love, Damini",Kilometre,spotify:track:03YUNUpazIbzwqJq2YSBvB
"Tyler, The Creator",Cherry Bomb + Instrumentals,BLOW MY LOAD - Instrumental,spotify:track:2J1ix1qlk9WjgQzV5gSpO7
Bea Miller,elated!,FEEL SOMETHING DIFFERENT,spotify:track:5STe0hPlbFwIk0OkjNRJLa
Sublime,Everything Under The Sun,Perfect World - Rarities Version,spotify:track:6QHLY8aRGTpAN0L3xUMCmP
"Tyler, The Creator",Cherry Bomb + Instrumentals,SMUCKERS (feat. Lil Wayne & Kanye West),spotify:track:3v6SdZsS8zR6Go257tldbB
Lyn Lapid,In My Mind,In My Mind,spotify:track:2W779g2UrRZtVdf3FcEOO1
BNXN,Fi Kan We Kan,Fi Kan We Kan,spotify:track:771KDfpsOtJPQmocQpMdkR
Sean Paul,The Trinity,Temperature,spotify:track:0k2GOhqsrxDTAbFFSdNJjT
Diana Lima,Ponto Para Terminar,Ponto Para Terminar,spotify:track:6S9nSgLTnk4Z0FpkTTjzv9
